Status,Adult Mortality,BMI,HIV/AIDS,Diphtheria,thinness  1-19 years,Polio,GDP,Alcohol,Income composition of resources,Schooling,Life expectancy
0,263.0,19.1,0.1,65.0,17.2,6.0,584.25921,0.01,0.479,10.1,65.0
0,271.0,18.6,0.1,62.0,17.5,58.0,612.696514,0.01,0.476,10.0,59.9
0,268.0,18.1,0.1,64.0,17.7,62.0,631.744976,0.01,0.47,9.9,59.9
0,272.0,17.6,0.1,67.0,17.9,67.0,669.959,0.01,0.463,9.8,59.5
0,275.0,17.2,0.1,68.0,18.2,68.0,63.537231,0.01,0.454,9.5,59.2
0,279.0,16.7,0.1,66.0,18.4,66.0,553.32894,0.01,0.448,9.2,58.8
0,281.0,16.2,0.1,63.0,18.6,63.0,445.8932979,0.01,0.434,8.9,58.6
0,287.0,15.7,0.1,64.0,18.8,64.0,373.3611163,0.03,0.433,8.7,58.1
0,295.0,15.2,0.1,63.0,19.0,63.0,369.835796,0.02,0.415,8.4,57.5
0,295.0,14.7,0.1,58.0,19.2,58.0,272.56377,0.03,0.405,8.1,57.3
0,291.0,14.2,0.1,58.0,19.3,58.0,25.2941299,0.02,0.396,7.9,57.3
0,293.0,13.8,0.1,5.0,19.5,5.0,219.1413528,0.02,0.381,6.8,57.0
0,295.0,13.4,0.1,41.0,19.7,41.0,198.7285436,0.01,0.373,6.5,56.7
0,3.0,13.0,0.1,36.0,19.9,36.0,187.84595,0.01,0.341,6.2,56.2
0,316.0,12.6,0.1,33.0,2.1,35.0,117.49698,0.01,0.34,5.9,55.3
0,321.0,12.2,0.1,24.0,2.3,24.0,114.56,0.01,0.338,5.5,54.8
0,74.0,58.0,0.1,99.0,1.2,99.0,3954.22783,4.6,0.762,14.2,77.8
0,8.0,57.2,0.1,98.0,1.2,98.0,4575.763787,4.51,0.761,14.2,77.5
0,84.0,56.5,0.1,99.0,1.3,99.0,4414.72314,4.76,0.759,14.2,77.2
0,86.0,55.8,0.1,99.0,1.3,99.0,4247.61438,5.14,0.752,14.2,76.9
0,88.0,55.1,0.1,99.0,1.4,99.0,4437.17868,5.37,0.738,13.3,76.6
0,91.0,54.3,0.1,99.0,1.4,99.0,494.358832,5.28,0.725,12.5,76.2
0,91.0,53.5,0.1,98.0,1.5,98.0,4114.136545,5.79,0.721,12.2,76.1
0,1.0,52.6,0.1,99.0,1.6,99.0,437.539647,5.61,0.713,12.0,75.3
0,9.0,51.7,0.1,98.0,1.6,99.0,363.13685,5.58,0.703,11.6,75.9
0,99.0,5.8,0.1,97.0,1.7,97.0,35.1293,5.31,0.696,11.4,74.2
0,15.0,49.9,0.1,98.0,1.8,97.0,279.142931,5.16,0.685,10.8,73.5
0,17.0,48.9,0.1,97.0,1.8,98.0,2416.588235,4.54,0.681,10.9,73.0
0,18.0,47.9,0.1,97.0,1.9,97.0,189.681557,4.29,0.674,10.7,72.8
0,15.0,46.9,0.1,98.0,2.0,98.0,1453.642777,3.73,0.67,10.7,73.3
0,14.0,46.0,0.1,97.0,2.1,97.0,1326.97339,4.25,0.662,10.6,73.6
0,11.0,45.0,0.1,97.0,2.1,97.0,1175.788981,3.66,0.656,10.7,72.6
0,19.0,59.5,0.1,95.0,6.0,95.0,4132.76292,3.755,0.743,14.4,75.6
0,11.0,58.4,0.1,95.0,6.0,95.0,547.8517,0.01,0.741,14.4,75.4
0,112.0,57.2,0.1,95.0,5.9,95.0,5471.866766,0.53,0.737,14.4,75.3
0,113.0,56.1,0.1,95.0,5.9,95.0,5564.82566,0.66,0.732,14.4,75.1
0,116.0,55.0,0.1,95.0,5.9,95.0,5432.2523,0.56,0.724,14.0,74.9
0,119.0,53.9,0.1,95.0,5.9,95.0,4463.394675,0.45,0.714,13.6,74.7
0,123.0,52.8,0.1,95.0,6.0,94.0,3868.83123,0.5,0.705,13.1,74.4
0,126.0,51.8,0.1,93.0,6.0,92.0,495.254866,0.46,0.697,12.6,74.1
0,129.0,5.8,0.1,95.0,6.0,95.0,3935.183343,0.44,0.69,12.3,73.8
0,132.0,49.8,0.1,95.0,6.1,95.0,3464.6179,0.36,0.686,12.3,73.4
0,136.0,48.9,0.1,88.0,6.1,88.0,31.122378,0.5,0.68,12.0,72.9
0,14.0,47.9,0.1,86.0,6.2,86.0,2598.9823,0.45,0.673,11.7,72.3
0,146.0,47.0,0.1,87.0,6.3,87.0,294.33556,0.34,0.663,11.5,71.7
0,145.0,46.1,0.1,86.0,6.3,86.0,1774.33673,0.36,0.653,11.1,71.6
0,145.0,45.3,0.1,89.0,6.4,89.0,1732.857979,0.23,0.644,10.9,71.4
0,145.0,44.4,0.1,86.0,6.5,86.0,1757.17797,0.25,0.636,10.7,71.3
0,335.0,23.3,1.9,64.0,8.3,7.0,3695.793748,3.755,0.531,11.4,52.4
0,348.0,22.7,2.0,64.0,8.5,68.0,479.31224,8.33,0.527,11.4,51.7
0,355.0,22.1,2.3,77.0,8.6,67.0,484.616884,8.1,0.523,11.4,51.1
0,358.0,21.5,2.6,75.0,8.8,75.0,4598.249988,8.24,0.508,10.3,56.0
0,361.0,21.0,2.5,71.0,8.9,73.0,4299.12889,8.06,0.495,9.4,51.0
0,365.0,2.4,2.5,77.0,9.1,81.0,3529.53482,7.8,0.488,9.0,49.6
0,369.0,19.8,2.5,6.0,9.3,63.0,3347.84485,7.01,0.48,8.5,49.1
0,371.0,19.3,2.6,69.0,9.5,65.0,3868.578883,7.07,0.468,8.1,48.7
0,375.0,18.8,2.6,73.0,9.6,75.0,2878.837144,6.35,0.454,7.7,48.2
0,381.0,18.2,2.5,34.0,9.8,36.0,262.415149,5.84,0.439,7.2,47.7
0,382.0,17.7,2.6,38.0,1.0,39.0,1443.991929,5.04,0.426,6.8,47.4
0,386.0,17.2,2.5,4.0,1.2,4.0,141.86844,3.53,0.415,6.4,47.1
0,388.0,16.8,2.4,4.0,1.4,4.0,779.468356,3.49,0.406,5.9,46.8
